id,pop,tot_germ,seed1,awn1,seed2,awn2,seed3,awn3,seed4,awn4,seed5,awn5,avg_seed,avg_awn,awn_seed,awn_seed1,awn_seed2,awn_seed3,awn_seed4,awn_seed5,avg_awn_seed
9,2,0.714285714,12.23,7.77,13.93,8.29,11.87,7.36,12.83,7.35,13.66,8.71,12.904,7.896,0.611903286,0.635322976,0.595118449,0.620050548,0.572876072,0.637628111,0.734579888
17,2,0.857142857,8.25,4.95,8.91,4.31,9.93,5.97,10.2,6.58,10.49,6.61,9.556,5.684,0.594809544,0.6,0.48372615,0.601208459,0.645098039,0.630123928,0.710993224
63,2,0.857142857,13.93,7.92,10.17,5.67,11.45,6.2,11.59,5.99,11.91,6.08,11.81,6.372,0.53954276,0.568557071,0.557522124,0.541484716,0.516824849,0.510495382,0.646885381
139,2,1,13.19,6.94,13.56,7.92,12.93,7.83,13.83,7.18,12.84,8.47,13.27,7.668,0.577844763,0.526156179,0.584070796,0.605568445,0.519161244,0.659657321,0.69449175
149,2,0.857142857,10.34,4.98,13.05,7.67,8.96,4.23,13.28,7.04,14.6,8.07,12.046,6.398,0.531130666,0.481624758,0.587739464,0.472098214,0.530120482,0.552739726,0.631090662
155,2,1,10.5,6.06,12.75,6.9,11.75,6.73,12.14,7.13,12.22,7.86,11.872,6.936,0.584231806,0.577142857,0.541176471,0.572765957,0.587314662,0.643207856,0.701167922
165,2,1,9.98,6.26,9.43,4.91,10.09,5.81,10.29,5.84,9.74,5.42,9.906,5.648,0.570159499,0.627254509,0.520678685,0.575817641,0.567541302,0.556468172,0.683583962
185,2,1,13.83,9.49,13.62,8.57,13.26,7.68,13.34,7.63,12.46,6.89,13.302,8.052,0.605322508,0.686189443,0.629221733,0.57918552,0.571964018,0.552969502,0.724970545
199,2,0.857142857,13.83,7.07,13.3,7.44,13.12,8.21,13.2,8.26,11.87,6.57,13.064,7.51,0.574862217,0.51120752,0.559398496,0.625762195,0.625757576,0.553496209,0.690096843
300,2,0.857142857,11.96,7.91,12.05,7.57,11.58,6.75,11.84,7.61,11.64,6.75,11.814,7.318,0.619434569,0.661371237,0.628215768,0.582901554,0.642736486,0.579896907,0.742911304
29,3,0.571428571,12.49,7.37,14.43,8.56,13.67,7.55,13.34,7.74,12.66,7.37,13.318,7.718,0.579516444,0.590072058,0.593208593,0.552304316,0.580209895,0.582148499,0.695491961
73,3,0.857142857,13.6,8.76,15.72,10.43,12.12,7.23,12.34,4.98,11.27,6.07,13.01,7.494,0.576018447,0.644117647,0.663486005,0.596534653,0.40356564,0.538598048,0.684464088
119,3,1,10.86,6.81,11.71,8.17,15.52,10.62,12.68,8.21,14.21,9.34,12.996,8.63,0.664050477,0.627071823,0.697694278,0.684278351,0.647476341,0.657283603,0.795570975
140,3,1,13.23,8.28,13.19,8.09,12.82,8.06,14.81,9.23,13.7,8.29,13.55,8.39,0.619188192,0.62585034,0.613343442,0.628705148,0.623227549,0.605109489,0.743084832
164,3,0.857142857,13.33,8.2,12.57,7.49,14.45,8.7,13.01,7.86,14.36,9.13,13.544,8.276,0.611045481,0.615153788,0.595863166,0.602076125,0.604150653,0.635793872,0.732816617
230,3,0.857142857,14.4,9.04,11.15,6.92,13.93,9.03,12.02,7.18,13.43,8.04,12.986,8.042,0.619282304,0.627777778,0.620627803,0.648241206,0.59733777,0.598659717,0.742385316
233,3,0.714285714,14.2,8.98,15.3,9.8,15.49,9.97,11.48,6.83,13.53,8.27,14,8.77,0.626428571,0.632394366,0.640522876,0.643641059,0.594947735,0.611234294,0.74983378
256,3,1,10.79,5.79,12.21,6.95,10.74,6.18,13.45,8.33,14.41,8.72,12.32,7.194,0.583928571,0.53660797,0.569205569,0.575418994,0.619330855,0.605135323,0.697925457
291,3,1,14.44,9.61,14.59,9.65,13.53,7.95,12.61,7.7,13.4,8.34,13.714,8.65,0.630742307,0.665512465,0.661411926,0.587583149,0.610626487,0.62238806,0.755652879
304,3,1,11.35,6.2,11.63,5.8,11.03,5.92,10.87,6.08,10.41,5.21,11.058,5.842,0.528305299,0.546255507,0.498710232,0.536718042,0.559337626,0.500480307,0.633961403
23,4,0.571428571,9.05,3.42,8.41,2.81,9.34,4.26,9.63,4.77,9.72,4.52,9.23,3.956,0.428602384,0.377900552,0.33412604,0.456102784,0.495327103,0.465020576,0.511415888
30,4,0.857142857,8.79,3.9,5.68,1.45,7.37,2.65,8.48,3.08,7.06,2.95,7.476,2.806,0.375334403,0.443686007,0.25528169,0.359565807,0.363207547,0.417847025,0.442984496
48,4,0.142857143,14.31,9.01,13.59,8.03,14.71,8.47,13.94,8.67,14.53,8.87,14.216,8.61,0.605655599,0.62962963,0.590875644,0.575798776,0.62195122,0.610461115,0.726874397
79,4,0.714285714,10.21,4.65,9.13,5.17,9.09,5.37,10.06,4.26,9.39,3.73,9.576,4.636,0.484126984,0.455435847,0.56626506,0.590759076,0.423459245,0.397231097,0.583455462
130,4,0.714285714,16.6,11.19,14.97,8.29,16.22,10.29,18.49,11.11,15.12,10.3,16.28,10.236,0.628746929,0.674096386,0.553774215,0.634401973,0.600865333,0.681216931,0.754620353
153,4,0.571428571,12.45,7.32,13.1,7.46,12.82,7.14,14.09,8.89,14.04,8.28,13.3,7.818,0.587819549,0.587951807,0.569465649,0.556942278,0.630943932,0.58974359,0.704573361
173,4,0.857142857,17.32,10.94,14.53,10.35,16.19,9.81,14.5,8.96,17.57,9.84,16.022,9.98,0.622893521,0.631639723,0.712319339,0.605929586,0.617931034,0.560045532,0.750151747
237,4,0.714285714,11.33,6.45,14.2,8.78,13.96,8.96,13.21,7.92,12.92,7.28,13.124,7.878,0.600274307,0.569285084,0.618309859,0.641833811,0.599545799,0.563467492,0.71854327
286,4,0.714285714,12.41,7.92,12.61,6.8,12.64,7.23,13.08,6.53,10.95,5.74,12.338,6.844,0.554709029,0.638195004,0.53925456,0.571993671,0.499235474,0.524200913,0.66551773
305,4,0.857142857,13,7.02,11.78,6.81,12.19,6.57,14.61,8.83,12.36,7.03,12.788,7.252,0.567094151,0.54,0.578098472,0.538966366,0.604380561,0.568770227,0.679461955
12,5,0.857142857,12.11,7.61,12.95,8.98,14.08,9.12,14.51,9.5,13.53,9.25,13.436,8.892,0.661804108,0.628406276,0.693436293,0.647727273,0.654720882,0.683665928,0.793952152
178,5,0.571428571,13.42,8.62,14.34,8.22,14.54,9.97,14.88,8.79,14.95,9.9,14.426,9.1,0.63080549,0.642324888,0.573221757,0.685694635,0.590725806,0.662207358,0.756995987
218,5,1,9.08,4.39,10.54,5.39,10.53,5.06,10.29,6.09,11.5,5.78,10.388,5.342,0.514247208,0.483480176,0.511385199,0.480531814,0.591836735,0.502608696,0.616817966
241,5,1,11.64,6.03,12.74,8.32,11.09,6.71,11.81,7.04,12.15,7.42,11.886,7.104,0.59767794,0.518041237,0.653061224,0.605049594,0.596104996,0.610699588,0.716126916
245,5,0.714285714,12.91,7.56,14.18,8.4,12.36,6.87,13.81,7.57,12.33,6.66,13.118,7.412,0.565025156,0.585592564,0.592383639,0.555825243,0.548153512,0.540145985,0.67742522
271,5,1,12.57,7.03,11.36,6.29,11.53,6.37,12.17,7.12,12.46,7.49,12.018,6.86,0.570810451,0.559268099,0.553697183,0.552471813,0.585045193,0.601123596,0.684483267
274,5,0.857142857,11.86,5.68,12.76,7.4,11.41,6.3,11.47,6.72,10.99,6.51,11.698,6.522,0.557531202,0.478920742,0.579937304,0.552147239,0.585876199,0.592356688,0.669353875
277,5,0.714285714,9.21,4.99,11.98,7.16,11.34,6,12.26,7.64,9.36,4.33,10.83,6.024,0.556232687,0.541802389,0.597662771,0.529100529,0.623164763,0.462606838,0.662113995
282,5,0.714285714,13.42,8.2,13.55,8.22,13.33,7.99,12.02,6.86,11.31,6.67,12.726,7.588,0.596259626,0.611028316,0.606642066,0.59939985,0.570715474,0.58974359,0.714757784
302,5,0.857142857,10.71,5.82,11.57,7.29,11.27,6.88,12.56,7.99,11.46,6.67,11.514,6.93,0.601875977,0.543417367,0.630077787,0.610470275,0.636146497,0.582024433,0.720802467
51,6,0.857142857,13.78,9.09,11.97,8.25,12.52,7.03,12.91,8.6,12.05,7.19,12.646,8.032,0.635141547,0.659651669,0.689223058,0.561501597,0.666150271,0.596680498,0.761669728
64,6,1,14.33,9.81,12.86,7.81,14.28,9.26,14.77,9.84,11.76,7.43,13.6,8.83,0.649264706,0.684577809,0.607309487,0.648459384,0.666215301,0.631802721,0.777525882
97,6,0.857142857,13.27,8.96,12.69,8.77,14,8.14,13.35,8,10.34,5.67,12.73,7.908,0.621209741,0.675207234,0.691095351,0.581428571,0.599250936,0.548355899,0.743309547
98,6,0.857142857,13.54,9.09,13.29,8.32,11.81,6.67,13.71,8.74,13.51,8.53,13.172,8.27,0.627846948,0.671344165,0.626034612,0.564775614,0.637490883,0.63138416,0.751775276
99,6,0.714285714,13.08,7.15,14.47,9.12,14.47,9.6,16.11,11.06,14.27,9.34,14.48,9.254,0.639088398,0.546636086,0.630269523,0.663441603,0.686530106,0.654519972,0.764097137
107,6,0.857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,6,0.857142857,17.19,10.75,17.92,12.32,17.05,11.15,14.7,10.56,17.85,11.9,16.942,11.336,0.669106363,0.625363583,0.6875,0.653958944,0.718367347,0.666666667,0.804192581
252,6,0.714285714,12.62,6.62,15.23,9.3,10.38,6.32,13.72,8.37,12.44,8.17,12.878,7.756,0.602267433,0.524564184,0.610636901,0.608863198,0.610058309,0.656752412,0.722628487
279,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,6,1,14.17,9.06,12.97,7.42,13.37,7.01,12.57,7.3,13.87,8.42,13.39,7.842,0.585660941,0.63937897,0.572089437,0.524308153,0.580747812,0.607065609,0.701850184
7,9,1,11.53,6.24,11.54,6.62,15.18,9.84,12.97,8.13,10.73,6.13,12.39,7.392,0.596610169,0.541196878,0.573656846,0.648221344,0.626831149,0.571295433,0.711562364
15,9,1,14.33,10.02,12.69,8.13,12.3,7.19,14.07,9.89,11.55,7.67,12.988,8.58,0.660609794,0.69923238,0.640661939,0.584552846,0.702914001,0.664069264,0.790408045
39,9,0.714285714,11.34,7.59,12.6,7.15,14.35,8.91,12.14,8.27,11.55,6.79,12.396,7.742,0.624556308,0.669312169,0.567460317,0.620905923,0.68121911,0.587878788,0.750266523
52,9,0.857142857,10.11,7,11.96,7.87,12.39,7.59,13.57,8.77,9.55,5.66,11.516,7.378,0.640673845,0.692383778,0.658026756,0.612590799,0.646278556,0.592670157,0.768524778
172,9,0.857142857,13.96,8.78,11.4,6.61,14.31,9.19,11.14,6.38,13.02,8.06,12.766,7.804,0.611311296,0.628939828,0.579824561,0.642208246,0.572710952,0.619047619,0.7308085
177,9,1,10.99,7.02,11.14,5.13,12.21,7.38,11.1,5.54,10.91,4.89,11.27,5.992,0.531677019,0.638762511,0.460502693,0.604422604,0.499099099,0.448212649,0.636535315
210,9,1,12.65,7.59,11.81,6.87,12.22,7.18,10.05,5.1,9.8,5.85,11.306,6.518,0.576508049,0.6,0.581710415,0.587561375,0.507462687,0.596938776,0.69003626
214,9,1,15.66,11.58,13.83,8.18,15.75,9.75,14.85,9.78,14.43,9.39,14.904,9.736,0.65324745,0.739463602,0.591467824,0.619047619,0.658585859,0.650727651,0.782508001
244,9,1,10.46,5.6,10.67,5.54,8.94,3.91,9.53,5.05,10.41,5.37,10.002,5.094,0.50929814,0.535372849,0.519212746,0.437360179,0.529905561,0.515850144,0.609399924
278,9,1,12.84,8.32,12.68,8.05,12.02,7.78,12.12,7.25,14.59,8.66,12.85,8.012,0.623501946,0.647975078,0.634858044,0.647254576,0.598184818,0.593557231,0.749066339
1,10,1,7.42,2.7,7.8,3.67,8.19,4.78,8.52,3.47,5.41,1.47,7.468,3.218,0.430905196,0.363881402,0.470512821,0.583638584,0.407276995,0.271719039,0.505586807
56,10,1,7.9,3.42,8.33,2.81,7.84,3.27,7.71,3.6,8.91,3.82,8.138,3.384,0.415826985,0.432911392,0.337334934,0.417091837,0.46692607,0.428731762,0.499764596
58,10,1,15.97,10.81,16.31,9.2,13.42,8.16,16.71,11.33,13.87,8.99,15.256,9.698,0.635684321,0.676894177,0.564071122,0.60804769,0.678037104,0.6481615,0.762179183
74,10,0.428571429,12.92,7.69,14.65,9.04,11.47,5.45,13.49,7.94,12.56,7.49,13.018,7.522,0.577815333,0.595201238,0.617064846,0.475152572,0.588584136,0.59633758,0.690031141
157,10,1,16.56,10.64,12.29,6.42,13.37,7.04,11.25,5.75,14.81,9.12,13.656,7.794,0.570738137,0.642512077,0.522375915,0.526551982,0.511111111,0.615800135,0.677817872
201,10,0.857142857,12.03,6.73,15.87,10.42,14.82,8.99,13.15,7.33,13.23,8.07,13.82,8.308,0.601157742,0.559434746,0.656584751,0.606612686,0.557414449,0.609977324,0.71823634
219,10,1,8.06,3.75,7.03,1.85,6.72,1.65,8.38,3.1,8.25,4.28,7.688,2.926,0.380593132,0.465260546,0.263157895,0.245535714,0.369928401,0.518787879,0.448652713
235,10,0.714285714,13.45,7.73,13.75,8.44,12.8,8.03,15.3,8.7,14.05,8.08,13.87,8.196,0.590915645,0.57472119,0.613818182,0.62734375,0.568627451,0.575088968,0.710103037
238,10,0.857142857,12.97,7.51,12.95,7.68,15.09,8.62,12.05,7.6,11.39,7.03,12.89,7.688,0.596431342,0.579028527,0.593050193,0.571239231,0.630705394,0.617208077,0.717532553
257,10,1,8.73,3.68,8.23,3.14,9.77,4.27,7.34,2.28,7.59,2.55,8.332,3.184,0.382141143,0.421534937,0.381530984,0.437052201,0.310626703,0.335968379,0.453770869
26,11,0.857142857,9.3,4.72,9.51,5.25,10.09,5.79,11.17,6.74,9.73,4.94,9.96,5.488,0.551004016,0.507526882,0.552050473,0.573835481,0.60340197,0.507708119,0.659105388
37,11,1,14.07,8.32,12.98,7.87,13.78,8.46,13.17,8.2,14.86,10.09,13.772,8.588,0.623584084,0.591329069,0.606317411,0.613933237,0.622627183,0.679004038,0.747359004
62,11,1,12.28,6.67,12.19,6.5,12.59,6.64,12.94,7.28,12.17,6.97,12.434,6.812,0.547852662,0.543159609,0.533223954,0.527402701,0.5625966,0.572719803,0.657391066
83,11,0.714285714,11.15,6.05,9.99,5.87,11.36,6.42,10.55,5.78,11.73,7.09,10.956,6.242,0.569733479,0.542600897,0.587587588,0.565140845,0.547867299,0.604433078,0.683472637
84,11,1,14.77,9.52,14.36,8.35,12.69,7.77,14.42,9.91,13.69,9.01,13.986,8.912,0.637208637,0.644549763,0.581476323,0.612293144,0.687239945,0.658144631,0.764182489
122,11,1,12.64,7.96,11.83,7.25,12.1,7.24,11.38,6.94,14.17,8.73,12.424,7.624,0.613650998,0.629746835,0.61284869,0.598347107,0.609841828,0.616090332,0.736105158
131,11,1,11.66,7.04,15.19,10.6,15.51,10.08,15.09,10.12,13.1,7.92,14.11,9.152,0.648618001,0.603773585,0.697827518,0.649903288,0.67064281,0.604580153,0.775069071
146,11,0.857142857,14.39,9.58,14.38,9.56,14.96,9.6,13.67,9.37,12.41,7.35,13.962,9.092,0.651196104,0.665740097,0.664812239,0.64171123,0.685442575,0.592264303,0.78023331
275,11,1,12.92,7.68,12.25,7.04,12.99,9.16,13.82,8.54,13.95,10.21,13.186,8.526,0.646594873,0.594427245,0.574693878,0.705157814,0.617945007,0.731899642,0.774143692
280,11,0.714285714,11.11,6.19,13.29,8.36,11.88,7.15,11.47,6.36,11.9,7.03,11.93,7.018,0.588264878,0.557155716,0.629044394,0.601851852,0.554489974,0.590756303,0.704312623
2,13,0.428571429,9.67,4.77,11.55,5.89,15.23,9.26,12.66,7.67,11,5.28,12.022,6.574,0.54683081,0.49327818,0.50995671,0.608010506,0.605845182,0.48,0.648784277
45,13,0.714285714,9.97,5.02,10.24,4.37,9.48,5.37,9.33,4.87,8.33,4.31,9.47,4.788,0.505596621,0.503510532,0.426757813,0.566455696,0.521972133,0.517406963,0.608339951
70,13,0.714285714,13.78,9.15,10.98,5.46,11.72,7.46,12.49,6.83,11.03,6.59,12,7.098,0.5915,0.664005806,0.49726776,0.636518771,0.54683747,0.597461469,0.706718255
123,13,1,17.88,11.91,18.3,11.94,12.7,6.9,17.22,10.69,15.88,9.65,16.396,10.218,0.623200781,0.666107383,0.652459016,0.543307087,0.620789779,0.60768262,0.742709333
125,13,0.857142857,16.91,12.18,11.44,6.71,12.61,7.25,13.18,7.73,14.49,9.98,13.726,8.77,0.638933411,0.720283856,0.586538462,0.574940523,0.586494689,0.688750863,0.759188361
135,13,0.714285714,17.64,11.65,16.71,9.67,16.76,11.02,15.56,8.76,11.94,7.91,15.722,9.802,0.623457575,0.660430839,0.578695392,0.6575179,0.562982005,0.662479062,0.749112555
175,13,0.714285714,16.99,10.19,17.89,10.68,17.67,11.28,16.9,11.49,16.65,9.98,17.22,10.724,0.622764228,0.599764567,0.596981554,0.638370119,0.679881657,0.599399399,0.747432305
180,13,0.714285714,11.02,5.81,9.98,4.58,10.88,6.04,10.01,4.78,9.96,4.75,10.37,5.192,0.500675024,0.52722323,0.458917836,0.555147059,0.477522478,0.476907631,0.599278651
200,13,0.857142857,15.54,10.05,14.16,8.82,14.15,8.72,14.08,9.05,12.34,6.63,14.054,8.654,0.615767753,0.646718147,0.622881356,0.616254417,0.642755682,0.537277147,0.7363309
240,13,0.857142857,11.53,6.41,10.24,5.85,13.55,9.62,14.11,8.66,16,10.42,13.086,8.192,0.626012532,0.555941023,0.571289063,0.7099631,0.613749114,0.65125,0.745640966
4,15,1,11,6.62,12.98,7.99,11.1,6.47,10.93,6.79,11.16,6.25,11.434,6.824,0.596816512,0.601818182,0.615562404,0.582882883,0.621225984,0.560035842,0.715668361
14,15,0.857142857,11.62,6.36,11.91,6.08,11.81,6.62,12.22,7.06,11.87,6.79,11.886,6.582,0.553760727,0.547332186,0.510495382,0.560541914,0.577741408,0.572030329,0.664380389
46,15,0.714285714,16.67,10.09,17.34,11.31,15.54,9.4,15.63,8.8,16.53,10.06,16.342,9.932,0.607759148,0.605278944,0.652249135,0.604890605,0.563019834,0.608590442,0.728357622
88,15,0.714285714,13.75,8.45,13.82,9.04,12.82,8.25,13.5,9.4,13.56,8.47,13.49,8.722,0.646553002,0.614545455,0.654124457,0.643525741,0.696296296,0.624631268,0.775935244
106,15,0.857142857,14.24,7.97,14.89,9.18,14.59,8.45,15.8,9.95,14.82,8.39,14.868,8.788,0.591068066,0.559691011,0.616521155,0.579163811,0.629746835,0.566126856,0.708463547
113,15,1,11.94,6.54,12.51,6.26,11.84,6.48,12.84,6.78,9.94,5.03,11.814,6.218,0.5263247,0.547738693,0.50039968,0.547297297,0.528037383,0.506036217,0.631166794
152,15,1,15.8,9.56,15.58,9.72,16.8,11.49,15.03,8.51,15.53,8.7,15.748,9.596,0.609347219,0.605063291,0.623876765,0.683928571,0.566200931,0.560206053,0.729724566
197,15,0.857142857,9.6,5.11,11.57,7.65,10.93,6.62,10.92,6.69,10.86,5.84,10.776,6.382,0.592242019,0.532291667,0.66119274,0.605672461,0.612637363,0.537753223,0.708357894
236,15,1,13.09,7.4,17.17,11.22,15.87,8.94,15.2,9.2,14.52,8.45,15.17,9.042,0.596044825,0.565317036,0.653465347,0.563327032,0.605263158,0.581955923,0.713074664
