id,site,plot,elevation,aspect,max.slope,sm1,sm2,sm3,percent.sm,slope1,slope2,tot.slope,soil.depth,light1,light2,light,
1,1,1,2324,SSW,10,17,12,16,15,2,8,8.2,NA,1530,1500,1515,
2,1,2,2324,SSW,10,13,11,18,14,5,2,5.4,6.5,1480,1510,1495,
3,1,3,2324,SSW,10,13,19,11,14.3,10,4,10.8,9.5,1600,1680,1640,
4,1,4,2324,SSW,10,13,19,20,17.3,4,5,6.4,8.25,1650,1610,1630,
5,1,5,2324,SSW,10,5,16,15,12,6,6,8.5,NA,1560,1510,1535,
6,1,6,2324,SSW,10,14,8,20,14,2,1,2.2,NA,1650,1630,1640,
7,1,7,2324,SSW,10,20,13,9,14,2,3,3.6,NA,1530,1430,1480,
8,1,8,2324,SSW,10,10,16,5,10.3,3,2,3.6,2.75,1670,1620,1645,
9,2,1,2365,WSW,11,11,18,16,15,4,8,8.9,20,1610,1650,1630,
10,2,2,2365,WSW,11,5,12,NA,8.5,9,7,11.4,NA,1730,1630,1680,
11,2,3,2365,WSW,11,11,12,NA,11.5,6,3,6.7,NA,1750,1650,1700,
12,2,4,2365,WSW,11,16,11,NA,13.5,6,4,7.2,5.25,1840,1840,1840,
13,2,5,2365,WSW,11,6,9,16,10.3,2,8,8.2,NA,1650,1450,1550,
14,2,6,2365,WSW,11,15,14,8,12.3,4,8,8.9,18.75,1505,1790,1648,
15,2,7,2365,WSW,11,11,10,11,10.7,2,7,7.3,32,1460,1600,1530,
16,2,8,2365,WSW,11,17,15,18,16.7,6,2,6.3,NA,1600,1640,1620,
17,3,1,2368,SSW,2,20,14,14,16,2,10,10.2,NA,1880,1860,1870,
18,3,2,2368,SSW,2,13,10,12,11.7,8,5,9.4,30.5,1820,1420,1620,
19,3,3,2368,SSW,2,11,22,14,15.7,1,7,7.1,NA,1820,1820,1820,
20,3,4,2368,SSW,2,20,17,23,20,0,5,5,NA,940,1570,1255,
21,3,5,2368,SSW,2,8,11,15,11.3,4,4,5.7,34,1750,1680,1715,
22,3,6,2368,SSW,2,10,13,13,12,5,2,5.4,28,1730,1780,1755,
23,3,7,2368,SSW,2,12,16,25,17.7,0,1,1,29.5,1750,1810,1780,
24,3,8,2368,SSW,2,26,10,16,17.3,5,4,6.4,NA,1880,1895,1888,
25,4,1,2349,NE,10,13,14,12,13,4,3,5,NA,1630,1550,1590,
26,4,2,2349,NE,10,14,12,11,12.3,3,5,5.8,5,1640,1630,1635,
27,4,3,2349,NE,10,14,21,13,16,2,8,8.2,NA,1660,1620,1640,
28,4,4,2349,NE,10,14,6,18,12.7,9,10,13.5,7.25,1640,1630,1635,
29,4,5,2349,NE,10,9,11,14,11.3,2,1,2.2,NA,1580,1510,1545,
30,4,6,2349,NE,10,20,19,19,19.3,6,4,7.2,8.75,1540,1650,1595,
31,4,7,2349,NE,10,20,19,14,17.7,6,2,6.3,4.25,1580,1550,1565,
32,4,8,2349,NE,10,15,22,16,17.7,2,12,12.2,NA,1630,1655,1643,
33,5,1,2345,EES,10,15,12,12,13,4,6,7.2,29.5,1620,1680,1650,
34,5,2,2345,EES,10,19,8,25,17.3,1,5,5.1,NA,1880,1880,1880,
35,5,3,2345,EES,10,6,11,8,8.3,2,7,7.3,NA,1700,1690,1695,
36,5,4,2345,EES,10,11,12,21,14.7,6,7,9.2,NA,1620,1540,1580,
37,5,5,2345,EES,10,14,14,11,13,3,5,5.8,28,1730,1735,1733,
38,5,6,2345,EES,10,13,18,25,18.7,4,6,7.2,34.75,1600,1190,1395,
39,5,7,2345,EES,10,13,8,22,14.3,7,11,13,NA,1410,1375,1393,
40,5,8,2345,EES,10,16,14,15,15,6,9,10.8,26.5,1545,1680,1613,
41,6,1,2235,W ,15,13,10,19,14,13,2,13.2,5.5,1104,1300,1202,
42,6,2,2235,W ,15,11,12,8,10.3,3,18,18.2,NA,1284,853,1069,
43,6,3,2235,W ,15,6,21,7,11.3,5,14,14.9,5,1268,1580,1424,
44,6,4,2235,W ,15,15,24,14,17.7,6,3,6.7,34.5,1550,1440,1495,
45,6,5,2235,W ,15,9,7,9,8.3,9,10,13.5,9.25,1490,1356,1423,
46,6,6,2235,W ,15,10,7,10,9,10,9,13.5,NA,1480,1370,1425,
47,6,7,2235,W ,15,21,9,14,14.7,0,13,13,NA,1029,963,996,
48,6,8,2235,W ,15,17,17,18,17.3,10,7,12.2,NA,1442,1520,1481,
49,7,1,2237,NW,15,37,37,48,40.7,18,2,18.1,NA,1670,1064,1367,
50,7,2,2237,NW,15,16,14,18,16,1,16,16,37.75,1706,1620,1663,
51,7,3,2237,NW,15,15,21,11,15.7,17,4,17.5,34,1690,1405,1548,
52,7,4,2237,NW,15,21,26,16,21,2,14,14.1,22.75,1700,1630,1665,
53,7,5,2237,NW,15,44,26,16,28.7,14,4,14.6,NA,1340,1500,1420,
54,7,6,2237,NW,15,16,18,30,21.3,1,14,14,NA,1210,1620,1415,
55,7,7,2237,NW,15,15,13,23,17,15,1,15,NA,1530,1404,1467,
56,7,8,2237,NW,15,12,14,12,12.7,3,13,13.3,40,1350,1045,1198,
57,8,1,2255,NW,15,11,4,12,9,5,13,13.9,37.75,1680,1770,1725,
58,8,2,2255,NW,15,17,19,22,19.3,23,6,23.8,40,1330,1560,1445,
59,8,3,2255,NW,15,9,9,15,11,2,14,14.1,37,1630,1700,1665,
60,8,4,2255,NW,15,8,7,11,8.7,23,4,23.3,NA,1370,1560,1465,
61,8,5,2255,NW,15,15,12,6,11,2,14,14.1,NA,1245,1460,1353,
62,8,6,2255,NW,15,9,9,6,8,2,12,12.2,31,1690,1630,1660,
63,8,7,2255,NW,15,18,13,33,21.3,2,14,14.1,NA,1302,1290,1296,
64,8,8,2255,NW,15,23,41,14,26,18,5,18.7,NA,1460,1650,1555,
65,9,1,2341,SWW,13,26,28,32,28.7,17,3,17.3,NA,1005,1205,1105,
66,9,2,2341,SWW,13,23,35,24,27.3,16,2,16.1,NA,1416,1264,1340,
67,9,3,2341,SWW,13,35,33,18,28.7,14,3,14.3,NA,1465,1485,1475,
68,9,4,2341,SWW,13,43,32,22,32.3,1,13,13,24.5,1230,1220,1225,
69,9,5,2341,SWW,13,20,27,17,21.3,18,7,19.3,19,1536,1648,1592,
70,9,6,2341,SWW,13,35,21,22,26,14,2,14.1,NA,1035,1350,1193,
71,9,7,2341,SWW,13,29,35,29,31,17,4,17.5,20.5,1290,1330,1310,
72,9,8,2341,SWW,13,27,30,22,26.3,5,14,14.9,9.25,1170,1250,1210,
73,10,1,2326,W ,18,19,31,23,24.3,11,0,11,32.5,1514,1540,1527,
74,10,2,2326,W ,18,12,8,25,15,8,3,8.5,NA,1510,1165,1338,
75,10,3,2326,W ,18,26,11,22,19.7,2,12,12.2,NA,1491,1495,1493,
76,10,4,2326,W ,18,21,41,17,26.3,9,3,9.5,NA,1490,1530,1510,
77,10,5,2326,W ,18,15,15,19,16.3,9,3,9.5,37.25,1290,1540,1415,
78,10,6,2326,W ,18,13,20,16,16.3,4,7,8.1,36,1500,1488,1494,
79,10,7,2326,W ,18,25,16,25,22,7,6,9.2,NA,1530,1350,1440,
80,10,8,2326,W ,18,17,17,21,18.3,6,13,14.3,6.75,1487,1500,1494,
81,11,1,2158,N,25,12,11,11,11.3,11,12,16.3,16,1295,1208,1252,
82,11,2,2158,N,25,22,12,9,14.3,15,7,16.6,NA,1190,1350,1270,
83,11,3,2158,N,25,11,13,8,10.7,8,9,12,NA,1040,970,1005,
84,11,4,2158,N,25,17,22,20,19.7,10,6,11.7,14,1095,1020,1058,
85,11,5,2158,N,25,9,15,16,13.3,13,8,15.3,NA,1090,1250,1170,
86,11,6,2158,N,25,19,16,21,18.7,8,20,21.5,NA,1185,1130,1158,
87,11,7,2158,N,25,10,13,15,12.7,10,16,18.9,14.5,1110,990,1050,
88,11,8,2158,N,25,12,11,13,12,15,14,20.5,15.75,1140,1090,1115,
89,12,1,2145,NE,14,16,15,17,16,8,9,12,NA,1280,1270,1275,
90,12,2,2145,NE,14,15,14,17,15.3,6,0,6,NA,1170,866,1018,
91,12,3,2145,NE,14,15,8,4,9,5,1,5.1,19.75,900,600,750,
92,12,4,2145,NE,14,18,17,13,16,10,12,15.6,18.75,1050,1040,1045,
93,12,5,2145,NE,14,22,14,13,16.3,5,5,7.1,12.5,950,1080,1015,
94,12,6,2145,NE,14,22,14,14,16.7,4,10,10.8,16.75,880,1130,1005,
95,12,7,2145,NE,14,19,13,11,14.3,8,11,13.6,NA,860,780,820,
96,12,8,2145,NE,14,14,14,16,14.7,9,7,11.4,NA,1170,1240,1205,
97,13,1,2170,E,23,10,12,8,10,13,4,13.6,NA,1057,708,883,
98,13,2,2170,E,23,11,10,14,11.7,11,17,20.2,3.75,1308,1210,1259,
99,13,3,2170,E,23,15,10,12,12.3,8,15,17,5.5,1460,1420,1440,
100,13,4,2170,E,23,17,10,12,13,14,10,17.2,NA,1360,1412,1386,
101,13,5,2170,E,23,12,8,9,9.7,8,15,17,35.25,1215,840,1028,
102,13,6,2170,E,23,14,8,11,11,3,21,21.2,15.25,1350,1220,1285,
103,13,7,2170,E,23,10,12,10,10.7,4,13,13.6,NA,990,1010,1000,
104,13,8,2170,E,23,14,10,29,17.7,5,17,17.7,NA,1660,1190,1425,
105,14,1,2204,E,5,12,16,18,15.3,4,12,12.6,NA,1080,1140,1110,
106,14,2,2204,E,5,27,29,26,27.3,2,7,7.3,4.75,1150,1290,1220,
107,14,3,2204,E,5,17,14,17,16,4,7,8.1,15.25,1320,1230,1275,
108,14,4,2204,E,5,24,33,19,25.3,6,8,10,NA,1250,1190,1220,
109,14,5,2204,E,5,26,17,14,19,6,4,7.2,11.75,1090,1270,1180,
110,14,6,2204,E,5,42,14,22,26,7,7,9.9,NA,1240,1150,1195,
111,14,7,2204,E,5,13,17,13,14.3,3,8,8.5,12.25,1240,1000,1120,
112,14,8,2204,E,5,28,25,19,24,6,8,10,NA,970,1120,1045,
113,15,1,2241,E,16,22,12,11,15,19,3,19.2,NA,1529,1055,1292,
114,15,2,2241,E,16,20,21,21,20.7,3,19,19.2,38.5,1467,1182,1325,
115,15,3,2241,E,16,15,28,22,21.7,2,15,15.1,NA,1366,1587,1477,
116,15,4,2241,E,16,14,21,13,16,1,7,7.1,40,1600,1540,1570,
117,15,5,2241,E,16,16,20,17,17.7,5,12,13,NA,1220,1350,1285,
118,15,6,2241,E,16,17,6,15,12.7,13,0,13,33,1280,1370,1325,
119,15,7,2241,E,16,7,14,13,11.3,6,10,11.7,NA,1288,1405,1347,
120,15,8,2241,E,16,28,22,21,23.7,7,17,18.4,26.5,1610,1475,1543,
121,16,1,1346,SW,2,23,17,10,16.7,4,4,5.7,NA,1515,1460,1488,
122,16,2,1346,SW,2,9,7,9,8.3,5,1,5.1,7.5,1430,1300,1365,
123,16,3,1346,SW,2,5,9,10,8,3,2,3.6,6.75,1390,1440,1415,
124,16,4,1346,SW,2,6,11,16,11,4,2,4.5,20,1480,1350,1415,
125,16,5,1346,SW,2,17,22,15,18,3,4,5,NA,1380,1500,1440,
126,16,6,1346,SW,2,13,10,11,11.3,4,4,5.7,NA,1450,1330,1390,
127,16,7,1346,SW,2,8,9,14,10.3,1,4,4.1,NA,1150,1360,1255,
128,16,8,1346,SW,2,7,8,5,6.7,2,3,3.6,20,1370,1450,1410,
129,17,1,1338,SSW,1,9,10,11,10,5,1,5.1,23,1450,1580,1515,
130,17,2,1338,SSW,1,4,7,10,7,7,3,7.6,33.25,1420,1280,1350,
131,17,3,1338,SSW,1,8,12,9,9.7,5,7,8.6,33.25,1620,1520,1570,
132,17,4,1338,SSW,1,7,6,10,7.7,4,4,5.7,NA,1407,1260,1334,
133,17,5,1338,SSW,1,14,9,16,13,4,4,5.7,NA,1630,1610,1620,
134,17,6,1338,SSW,1,8,7,9,8,6,4,7.2,NA,1400,1290,1345,
135,17,7,1338,SSW,1,4,6,6,5.3,0,2,2,NA,1280,650,965,
136,17,8,1338,SSW,1,9,10,12,10.3,6,4,7.2,33.75,1200,1170,1185,
137,18,1,1329,NEE,15,9,6,8,7.7,6,4,7.2,26.5,1540,1620,1580,
138,18,2,1329,NEE,15,15,13,15,14.3,1,6,6.1,20.25,1630,1560,1595,
139,18,3,1329,NEE,15,12,13,13,12.7,4,4,5.7,28.5,1560,1650,1605,"#was listed as 48.5, which is not possible since rod was 40cm, most likely 28.5"
140,18,4,1329,NEE,15,17,14,19,16.7,1,6,6.1,NA,1460,1550,1505,
141,18,5,1329,NEE,15,11,8,10,9.7,2,9,9.2,NA,1450,1160,1305,
142,18,6,1329,NEE,15,12,8,12,10.7,6,1,6.1,NA,1560,1535,1548,
143,18,7,1329,NEE,15,13,11,14,12.7,1,6,6.1,33,1615,1550,1583,
144,18,8,1329,NEE,15,9,8,15,10.7,3,8,8.5,NA,1650,1620,1635,
145,19,1,1352,SES,8,9,5,12,8.7,6,6,8.5,7.25,1480,1530,1505,
146,19,2,1352,SES,8,10,8,5,7.7,2,7,7.3,7.75,1680,1570,1625,
147,19,3,1352,SES,8,10,6,9,8.3,7,3,7.6,8,1600,1690,1645,
148,19,4,1352,SES,8,10,10,5,8.3,1,9,9.1,NA,1460,1620,1540,
149,19,5,1352,SES,8,8,8,7,7.7,4,6,7.2,NA,1590,1700,1645,
150,19,6,1352,SES,8,7,8,7,7.3,5,4,6.4,3.25,1580,1610,1595,
151,19,7,1352,SES,8,10,11,15,12,6,1,6.1,NA,1645,1640,1643,
152,19,8,1352,SES,8,11,9,11,10.3,4,4,5.7,NA,1650,1630,1640,
153,20,1,1366,E,4,8,7,8,7.7,8,1,8.1,21,1660,1680,1670,
154,20,2,1366,E,4,6,9,18,11,4,3,5,20.25,1640,1550,1595,
155,20,3,1366,E,4,11,10,12,11,9,2,9.2,NA,1740,1720,1730,
156,20,4,1366,E,4,10,8,8,8.7,8,9,12,5,1560,1545,1553,
157,20,5,1366,E,4,11,7,8,8.7,3,4,5,NA,1620,1630,1625,
158,20,6,1366,E,4,12,9,15,12,3,4,5,NA,1685,1670,1678,
159,20,7,1366,E,4,5,11,12,9.3,3,1,3.2,18.5,1730,1690,1710,
160,20,8,1366,E,4,5,7,9,7,6,1,6.1,NA,1630,NA,1630,
161,21,1,1402,NW,4,7,11,6,8,4,0,4,8.5,1482,1251,1367,
162,21,2,1402,NW,4,14,7,6,9,2,0,2,NA,566,366,466,
163,21,3,1402,NW,4,9,8,8,8.3,3,0,3,NA,899,980,940,
164,21,4,1402,NW,4,11,13,5,9.7,2,0,2,26.5,630,875,753,
165,21,5,1402,NW,4,9,11,9,9.7,4,0,4,NA,984,832,908,
166,21,6,1402,NW,4,8,10,8,8.7,3,0,3,4,471,1024,748,
167,21,7,1402,NW,4,7,12,14,11,2,0,2,9.25,1016,756,886,
168,21,8,1402,NW,4,7,9,7,7.7,3,0,3,NA,865,804,835,
169,22,1,1395,SW,3,8,11,7,8.7,7,0,7,NA,1550,1354,1452,
170,22,2,1395,SW,3,15,15,13,14.3,4,0,4,NA,1409,1257,1333,
171,22,3,1395,SW,3,10,7,9,8.7,3,0,3,40+,1421,1454,1438,
172,22,4,1395,SW,3,11,15,9,11.7,4,0,4,NA,1574,1481,1528,
173,22,5,1395,SW,3,8,9,8,8.3,3,0,3,NA,1081,1154,1118,
174,22,6,1395,SW,3,9,8,13,10,1,0,1,40,1580,1528,1554,
175,22,7,1395,SW,3,11,7,7,8.3,4,0,4,40,1230,1433,1332,
176,22,8,1395,SW,3,11,17,16,14.7,0,0,0,40,1524,1534,1529,
177,23,1,1396,N,7,31,9,16,18.7,9,0,9,NA,1560,1070,1315,
178,23,2,1396,N,7,18,16,14,16,7,0,7,36,1511,978,1245,
179,23,3,1396,N,7,18,27,21,22,5,0,5,NA,1490,1590,1540,
180,23,4,1396,N,7,16,12,11,13,2,0,2,40,1550,552,1051,
181,23,5,1396,N,7,15,14,12,13.7,1,0,1,NA,978,1309,1144,
182,23,6,1396,N,7,31,22,29,27.3,4,0,4,NA,1560,1578,1569,
183,23,7,1396,N,7,27,35,24,28.7,1,0,1,33,1521,1615,1568,
184,23,8,1396,N,7,31,14,13,19.3,0,0,0,35,1190,1430,1310,
185,24,1,1403,N,6,10,9,4,7.7,3,14,14.3,22.75,1160,1250,1205,
186,24,2,1403,N,6,10,6,15,10.3,14,1,14,NA,976,744,860,
187,24,3,1403,N,6,7,5,9,7,2,9,9.2,NA,922,1102,1012,
188,24,4,1403,N,6,7,6,7,6.7,9,5,10.3,NA,903,1220,1062,
189,24,5,1403,N,6,4,8,11,7.7,0,5,5,12.75,1320,1150,1235,
190,24,6,1403,N,6,7,4,7,6,9,1,9.1,32.5,1200,1500,1350,
191,24,7,1403,N,6,10,10,5,8.3,4,10,10.8,36.5,1407,1370,1389,
192,24,8,1403,N,6,7,10,7,8,9,5,10.3,NA,1476,1380,1428,
193,25,1,1405,NNE,13,11,9,10,10,9,9,12.7,NA,530,450,490,
194,25,2,1405,NNE,13,7,11,10,9.3,8,0,8,NA,1045,1180,1113,
195,25,3,1405,NNE,13,8,11,8,9,7,1,7.1,37.5,1180,1027,1104,
196,25,4,1405,NNE,13,7,4,6,5.7,10,4,10.8,NA,1010,1263,1137,
197,25,5,1405,NNE,13,13,13,9,11.7,3,4,5,4.75,1271,1377,1324,
198,25,6,1405,NNE,13,5,9,4,6,0,1,1,39,1382,1142,1262,
199,25,7,1405,NNE,13,8,7,9,8,5,0,5,11,650,1351,1001,
200,25,8,1405,NNE,13,6,7,7,6.7,8,1,8.1,NA,1261,1280,1271,
201,26,1,1615,SE ,23,14,9,15,12.7,11,0,11,34,1222,1050,1136,
202,26,2,1615,SE ,23,18,14,22,18,14,4,14.6,NA,1285,1290,1288,
203,26,3,1615,SE ,23,12,20,19,17,12,6,13.4,NA,1090,1000,1045,
204,26,4,1615,SE ,23,15,12,18,15,3,17,17.3,NA,1130,1125,1128,
205,26,5,1615,SE ,23,9,27,17,17.7,10,13,16.4,2.25,1170,1040,1105,
206,26,6,1615,SE ,23,13,21,13,15.7,4,11,11.7,3.625,1370,969,1170,
207,26,7,1615,SE ,23,9,20,14,14.3,13,2,13.2,26,1240,1020,1130,
208,26,8,1615,SE ,23,19,22,20,20.3,14,9,16.6,NA,1120,880,1000,
209,27,1,1588,SW,20,7,9,7,7.7,11,22,24.6,NA,1360,1290,1325,
210,27,2,1588,SW,20,8,8,9,8.3,8,17,18.8,NA,1280,1220,1250,
211,27,3,1588,SW,20,7,9,9,8.3,6,19,19.9,7.5,1290,1250,1270,
212,27,4,1588,SW,20,8,8,6,7.3,5,24,24.5,NA,980,1150,1065,
213,27,5,1588,SW,20,11,10,4,8.3,16,0,16,3.125,1320,1290,1305,
214,27,6,1588,SW,20,8,9,4,7,16,3,16.3,6,1400,1270,1335,
215,27,7,1588,SW,20,9,7,7,7.7,23,4,23.3,6.5,1320,1390,1355,
216,27,8,1588,SW,20,8,9,10,9,6,16,17.1,NA,1310,1300,1305,
217,28,1,1660,SW,10,13,13,12,12.7,6,8,10,NA,1400,1320,1360,
218,28,2,1660,SW,10,9,8,11,9.3,4,6,7.2,NA,1320,1450,1385,
219,28,3,1660,SW,10,12,12,11,11.7,8,9,12,NA,1320,1400,1360,
220,28,4,1660,SW,10,13,6,11,10,3,14,14.3,2.125,1380,1320,1350,
221,28,5,1660,SW,10,11,13,13,12.3,4,1,4.1,6.375,1140,1200,1170,
222,28,6,1660,SW,10,NA,11,10,10.5,3,4,5,4.25,1320,1130,1225,
223,28,7,1660,SW,10,10,7,9,8.7,2,12,12.2,22.5,1170,1080,1125,
224,28,8,1660,SW,10,10,9,9,9.3,4,11,11.7,NA,1350,1410,1380,
225,29,1,1636,SEE,27,8,6,7,7,23,3,23.2,40,1520,1563,1542,
226,29,2,1636,SEE,27,7,5,6,6,22,0,22,25,1330,1400,1365,
227,29,3,1636,SEE,27,8,7,7,7.3,12,2,12.2,NA,1460,1450,1455,
228,29,4,1636,SEE,27,7,6,13,8.7,8,19,20.6,NA,1440,1220,1330,
229,29,5,1636,SEE,27,10,9,7,8.7,25,2,25.1,40,1400,1550,1475,
230,29,6,1636,SEE,27,9,12,6,9,2,20,20.1,NA,1505,1570,1538,
231,29,7,1636,SEE,27,20,12,14,15.3,4,22,22.4,NA,1515,1520,1518,
232,29,8,1636,SEE,27,8,8,6,7.3,1,29,29,17.5,1510,1520,1515,
233,30,1,1740,SE,25,12,12,13,12.3,9,7,11.4,NA,1210,1150,1180,
234,30,2,1740,SE,25,10,14,12,12,17,1,17,NA,1270,1280,1275,
235,30,3,1740,SE,25,7,8,14,9.7,7,2,7.3,19.75,1280,1250,1265,
236,30,4,1740,SE,25,9,11,8,9.3,7,4,8.1,13.75,1400,1140,1270,
237,30,5,1740,SE,25,15,11,13,13,12,4,12.6,NA,1220,1360,1290,
238,30,6,1740,SE,25,13,13,12,12.7,8,1,8.1,NA,970,980,975,
239,30,7,1740,SE,25,10,10.5,12.5,11,4,16,16.5,40,1290,1210,1250,
240,30,8,1740,SE,25,8,9,13,10,1,13,13,40,1215,960,1088,
